Firstname,Lastname,Username,Department,Password,OU
A,B,L12345679,PGDipCLOD2022,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
C,D,L00177558,PGDipCLOD2023,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
E,F,L00177769,PGDipCLOD2024,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
G,H,L00177770,PGDipCLOD2025,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
I,J,L00177772,PGDipCLOD2026,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
K,L,L00156581,PGDipCLOD2027,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
M,N,L00169841,PGDipCLOD2028,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
O,P,L00177891,PGDipCLOD2029,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
Q,R,L00177885,PGDipCLOD2030,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
S,T,L00150002,PGDipCLOD2031,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
U,V,L00177542,PGDipCLOD2032,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
W,X,L00169708,PGDipCLOD2033,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
Y,Z,L00170166,PGDipCLOD2034,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
B,A,L00103249,PGDipCLOD2035,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
D,C,L00177561,PGDipCLOD2036,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
F,E,L00177560,PGDipCLOD2037,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
H ,G,L00177768,PGDipCLOD2038,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
J,I,L00169649,PGDipCLOD2039,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
L,K,L00130805,PGDipCLOD2040,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
N,M,L00177545,PGDipCLOD2041,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
P,O,L00177544,PGDipCLOD2042,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
R,Q,L00170124,PGDipCLOD2043,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
T,S,L00177773,PGDipCLOD2044,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
V,U,L00177540,PGDipCLOD2045,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
X,W,L00169970,PGDipCLOD2046,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
Q,A,L00162045,PGDipCLOD2047,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
R,D,L00162688,PGDipCLOD2048,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
M,S,L00177543,PGDipCLOD2049,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
S,F,L00161904,PGDipCLOD2050,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
V,M,L00155916,PGDipCLOD2051,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
V,R,L00177547,PGDipCLOD2052,Passw0rd,"OU=Users,OU=PGDipCLOD2022,DC=ads,DC=solarsubmaines,DC=com"
